author,link,date,complete_text,share_count,comment_count,reaction_count
Wayne Ong Chun Wei,https://www.facebook.com/permalink.php?story_fbid=pfbid035M3VxF6CWxUoUaKbMZwZUfWLyRqdg23oGrj5rwdG1PcEWzVbrKTsQM4ic4vqkWW8l&id=100095001407478&__cft__[0]=AZXjLEO5ok2yT1iQRR0OBH0f76t5ovya5nY-A8QBAa3t2oYGeCsi4nTMetgBilrg20vmAdrRxvr0I705qKxzobJ1_ghGVZLkQN4I-_GIRDv0UokxJWn9Iz2QQLIk2iIMgOfIBascw9yKR5ODt7vIfzOs43O1h3I5pPTfAeO4_hT9Chdkau_I5YfkZfQvn87STE8&__tn__=%2CO%2CP-R,2023-08-15 21:05:00,"Lawatan tapak ke Taman Damai Impian 2 bersama Ahli Majlis MPKJ Zon 5 Encik Dickson Tan dan berkesempatan berjumpa dengan penduduk-penduduk sambil mendalami isu-isu setempat.
白天与市议员Dickson Tan一同前往Taman Damai Impian 2进行视察，同时借此机会与居民会面，深入了解当地情况。
#BalakongAdaOng
",5 comments,2 shares,{'Like': 116}
Wayne Ong Chun Wei,https://www.facebook.com/permalink.php?story_fbid=pfbid02YLnnh7dBz5ao5Lm5bw6EvbTnJAQC3rSGW7iZsGpwmuMrbYMVDj2LACdGMfEBpyHkl&id=100095001407478&__cft__[0]=AZWATFTY_xKkpNuF2Kbyo4Ua-Er0MqlZ64TdiskswuL5SWjC6bMMbhfSRVfUJUxXQj-1A5Z2MS0H8g9i3e-iE3px71sVW7CbBQ-3iL_1aLKwG_qwRwfDyWuu0bElXUIRbkKCp-QhfzT_fP16-8tb4C7IZ4rhxoUEusAJ9hSlSGfFb93AqfQV9IsksLJYvlGxEFU&__tn__=%2CO%2CP-R,2023-08-14 21:08:00,"（中文在下面）
Makan tengah hari bersama Ahli Parlimen Bangi YB Syahredzan sambil mengadakan perbincangan untuk memperkasakan kerjasama pejabat Parlimen Bangi dan pejabat DUN Balakong demi kepentingan warga Bangi serta Balakong khususnya.
Semoga gabungan ini akan membawa kesan 1+1>2
和万宜区国会议员谢瑞詹午餐，探讨双方的合作，希望我们合作无间，达到 1+1大于2的效果。
#BalakongAdaOng
",8 comments,2 shares,{'Like': 119}
Wayne Ong Chun Wei,https://www.facebook.com/permalink.php?story_fbid=pfbid0kbXktXyj5vTJymKESnNFf9fhjK9B35eujyhaZfpkkoMpm5Gc2wWnFcCwE82dCcpcl&id=100095001407478&__cft__[0]=AZXdJq3qYfw1LmEhh6oAaZnwyVrP6hDlKRYnX8Ui3Ff4R8nsWo3-uTWY3mi1Np1u6glAmtH4P3CGeAUTQZk4azbzUJP3i3HTBmoH-4oBbLob2S3ucTwEQ6wMgeHn8Zwy6rcEPjqSWAg1BMn_Mo8gNfsXaSOydRMMNSD8DAoQguGgv62gmoSknZaA5R4s6LlRqUU&__tn__=%2CO%2CP-R,2023-08-13 22:09:00,"Reentering Sungai Chua, Batu 11, and Kg Baru Balakong with a different role and greater responsibility. Thank you for all the support. I am now eager to begin my work.
再次进入锡米山、蕉赖11里和无拉港新村，这次身份不同了，责任重大了。谢谢选民的支持，现在已经想开始工作了。
王俊伟：寻策解民困 首计划 访加影市会
https://kl.chinapress.com.my/?p=1485374
王俊伟：即起投入服务   一视同仁对待各族选民 https://www.sinchew.com.my/?p=4906733
#BalakongAdaOng
",16 comments,4 shares,"{'Like': 119, 'Love': 7}"
Wayne Ong Chun Wei,https://www.facebook.com/permalink.php?story_fbid=pfbid02VnUzH8LM6UMzW19RgEp5AMoDQMJ7MMS1pp6Ksxp4cKb7CJRV1nXKc2rKsfcqo74jl&id=100095001407478&__cft__[0]=AZVaWVg9BeFk6vu_ZazdN05-D5u1W_MuGbPLvG2JqZR4wOwEv2S05wuvctCgw5PcZz3MA-DOx85QHM0AbOoLNUBSanEaFUQgJuDTFdYs1O54IlC-Ufq1v_j17UhKj_Nc47RNiD4qEezqzJypbslb_mrYTOv9gD7i9Fa8tR839me4Xr-l7bHXcb--XS2gUZe6SjY&__tn__=%2CO%2CP-R,2023-08-13 08:04:00,"Saya bertuah dapat menjadi sebahagian daripada Kerajaan Negeri Selangor dan saya bersedia berkhidmat！
高兴可以成为雪州政府的一分子！不是因为更上一层楼，而是可以投入社区服务，实践我的理想。
＃kerajaanperpaduan
＃kitaselangor
",26 comments,4 shares,{'Like': 182}
Wayne Ong Chun Wei,https://www.facebook.com/permalink.php?story_fbid=282197194442890&id=100095001407478&substory_index=282197194442890&__cft__[0]=AZXJRsY3NLRFVyoGKWRWN3cbLStjasxq5ZEhx6SFR21Ihqn7UdW2_KzmjHDM-65i-3Lg3Ji2zTQlih2koNlEgp4E7bjCB3O15ivDgrGeDzOStbci6Uwgj_X36B7kzNB85yZuD6cl6gOYnLjXRSPGbVa0zD0Mfc9gs0l20AUTsVYKbSz4kLhy0YNB47SK5S_e7ng&__tn__=%2CO%2CP-R,2023-08-12 23:30:00,,57 comments,3 shares,{'Like': 364}
Wayne Ong Chun Wei,https://www.facebook.com/permalink.php?story_fbid=pfbid07weTnAfjbopCx4eBmEaJF2aWiy1d32aPcSW2pZiZyTmg7s5FTqeDNBpTTFYSDLRnl&id=100095001407478&__cft__[0]=AZUIDcCZI42vp3NNKivd8VNpSKEfgS5cINAnAstTX1F0zSq9JZMqkoTHD_TyPOGL_h7BDv-xecP0WfW2IQ7T_l_8T-S0WMxAcEHo7KSrLD2kkKJ6VizM_1clJ5ZUReH62xU7G8CW3aUU4XvwZJCVW7StwGFQYAQSyn-rpqbtxD-ywQZGrXOLEvrUyRRoqLcYw4Y&__tn__=%2CO%2CP-R,2023-08-12 22:09:00,"Terima kasih Balakong. Saya akan buat yang terbaik. Salam hormat!
谢谢大家！
我将以实际行动回馈无拉港的选民！
＃balakongadaong
",46 comments,6 shares,"{'Like': 226, 'Love': 21}"
Wayne Ong Chun Wei,https://www.facebook.com/permalink.php?story_fbid=pfbid0CoxLL4f9SQkq3Nkg83q7H2eMZ4q8B9ihQEUuqsyoHpuftMHPSJ9Rb8HP1kkT1b41l&id=100095001407478&__cft__[0]=AZUZ2I-aoNMtQ8x6aunC048zGCZlrPrrJ4E_U_99eFFlK9qjmu-ExgdgLKDf2w5b62v0jDgmvO5LZPAg8kIhk-B998NSQm_vX6NWJXWwkqbSI59q8CiL2h7i4PyFP4UpTNp_jkwU03RVBERI4S1QsabeenNod2nGR5HDXkdbK4funNPi08Ntf10iM93fHFmOPB4&__tn__=%2CO%2CP-R,2023-08-12 15:25:00,"𝐈𝐍𝐓𝐄𝐍𝐒𝐄 𝐄𝐋𝐄𝐂𝐓𝐈𝐎𝐍 
The voter turnout rate is only 38% as of 3pm.
Go cast your vote immediately
",5 comments,14 shares,"{'Like': 37, 'Sad': 6, 'Wow': 5}"
Wayne Ong Chun Wei,https://www.facebook.com/permalink.php?story_fbid=pfbid02FX7C9iTmmfFH5pToT16Diw9dhsSRgXMFUiGf2UF7jDKqBbkQCJzw7n8GpbpJCxC7l&id=100095001407478&__cft__[0]=AZXKc1mh0_V__EPkwHx17T8MgYqMpG5wTDI1JumhZkivLaZwwhiAoCRzRMu8XsgbZueAo_3vaQnbSYl1mV_Ml7Y_4GRaz8INbOFX87CT2qWRK_j-sbBbJyRWUAEivC5iFDmTkrI3T6OxBxopK5rV9P2khHv2_S-ODO6mIXUHm9ZuWBgNFCG2QbbicDxC0mp4Sfo&__tn__=%2CO%2CP-R,2023-08-12 12:22:00,"已经有很多选民投票了，还未投票的你加入他们吧！
Thousands in Selangor have voted. Stand up and join them.
#您的一票很重要 #叫上亲朋好友一起来投票 
#jommengundi 
#MalaysiaMadani #KitaSelangor #BalakongAdaOng #N27 #Balakong #N27Balakong #PRNSelangor
",4 comments,1 share,{'Like': 27}
Wayne Ong Chun Wei,https://www.facebook.com/permalink.php?story_fbid=pfbid02FqnLcNXEX7kXmivqkV8RaizicehPYbNk5QGsUnePd5WJEFAXnHRq1sh9hoBzAf2Tl&id=100095001407478&__cft__[0]=AZWwRDQSA-YbBKLMPqTj42JmurLGyel01zro8UL1ZpZOcGbwyeu3JIAXnvFiSVZA-dOcEvEq8Vo_2CQfmDp3dp0xOd8QNdYAClJvODkJ2BPYeEA8BlWaFdvaHWZ4-EoTJCrCX-V3L8oTWZmy5IauGylH-XJfXMV--C8CZdnay_O_WYWfbdkBZ-fDOPlWZYVlCeg&__tn__=%2CO%2CP-R,2023-08-12 10:21:00,"我的手指头转蓝了！
我一早就为我未来5年投下了神圣的一票，你呢？
根据我在投票中心观察，今早投票中心没有排长龙，投票率相当低，是大家不想来吗？？
投票一点都不麻烦，查好投票站，带张IC去就可以啦！
Jari saya sudah dicelup dakwat biru demi masa depan saya,
Bagaimana dengan anda?
Undi anda, masa depan anda
Maklumat terkini:
Peratusan keluar mengundi amat rendah pada pagi ini
#您的一票很重要 #叫上亲朋好友一起来投票 
#jommengundi 
#MalaysiaMadani #KitaSelangor #5Tekaduntuk5Tahun #BalakongAdaOng #N27 #Balakong #N27Balakong #PRNSelangor
",22 comments,5 shares,{'Like': 198}
Wayne Ong Chun Wei,https://www.facebook.com/permalink.php?story_fbid=pfbid02tfGzY6yC23HbYzPFijPtoydQt6VsjnTvpxCPnu24TsUrZeHpWUrNhhfZoYJdbZFjl&id=100095001407478&__cft__[0]=AZUwOzKpcdvw91247m217PD4fSgvrVZXlhCLoYT4BNfCzAPwz9ejp-iYoBaeHszmrh5yWB8I5yMHykAFfA_ERuBjLSc1pNThynaltZs-ccokor2_Padgypi0t1os1uZO9f4HXsXqJAOnfDmiEdcrerb_EEyEsSdO8NmItjcvspPKRNVcYARsCPsuqyB-0N_jic4&__tn__=%2CO%2CP-R,2023-08-11 22:30:00,,N/A,N/A,"{'Like': 5400, 'Love': 3, 'Haha': 1200}"
